ipsrc,ipdst,portdst,proto,action,date,regle,is_attack
172.22.0.2,172.22.0.5,49514,TCP,Deny,2026-03-02 23:00:30,34,0
172.22.0.2,172.22.0.5,49514,TCP,Deny,2026-03-02 23:00:30,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:31,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:31,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:31,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:31,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:31,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:31,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:32,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:33,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:34,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:34,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:34,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:34,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:34,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:34,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:35,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:35,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:35,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:35,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:36,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:36,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:37,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:37,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:38,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:38,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:39,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:39,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:40,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:40,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:41,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:41,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:42,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:42,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:43,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:43,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:44,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:44,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:45,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:45,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:46,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:46,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:47,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:47,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:48,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:48,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:49,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:49,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:50,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:50,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:51,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:51,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:52,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:52,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:53,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:53,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:54,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:54,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:55,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:55,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:56,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:56,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:57,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:00:57,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:01,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:01,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:02,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:02,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:03,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:03,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:04,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:04,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:05,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:05,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:06,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:06,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:07,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:07,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:08,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:08,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:09,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:09,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:10,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:10,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:11,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:11,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:12,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:12,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:13,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:13,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:14,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:14,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:15,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:15,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:16,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:16,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:17,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:17,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:18,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:18,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.2,172.22.0.5,48430,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,18500,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,999,0
172.22.0.6,172.22.0.5,21,TCP,Permit,2026-03-02 23:01:19,3,0
172.22.0.6,172.22.0.5,21,TCP,Deny,2026-03-02 23:01:19,34,0
